iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5344351266131603,0.054027580424874114,nan,30683.015625,30664.6953125,30194.08984375,30194.08984375,30194.08984375,30683.015625
2,0.046733321333380984,0.003920305462341045,67.26428339770064,31684.3828125,31665.6953125,30683.015625,31186.046875,31186.046875,31684.3828125
3,0.040968563651067796,0.002880026097835164,67.16122031817213,32685.71484375,32667.6953125,31684.3828125,32187.4140625,32187.4140625,32685.71484375
4,0.03501868616082108,0.0020450211119583455,134.27750592399389,34688.44921875,34670.1953125,33687.0703125,34190.125,34190.125,34688.44921875
5,0.017792539813073615,0.0034964855870744625,67.03832848509774,35689.796875,35671.6953125,34688.44921875,35191.484375,35191.484375,35689.796875
6,0.0037793122200405816,0.00199340970126968,66.96626982465386,36691.15625,36673.1953125,35689.796875,36192.84375,36192.84375,36691.15625
7,0.0030111881657202753,0.0010965439111661466,67.13803868927062,37692.51953125,37673.6953125,36691.15625,37194.19140625,37194.19140625,37692.51953125
8,0.0025233672196272676,0.001049566847654236,67.13942073192447,38693.83984375,38675.6953125,37692.51953125,38195.55078125,38195.55078125,38693.83984375
9,0.0018044127141110576,0.000853792719753243,134.26623367797583,40696.59765625,40677.6953125,39695.2265625,40198.2734375,40198.2734375,40696.59765625
10,0.0008934514346715201,0.00040033169716879944,67.17840697290376,41697.9453125,41679.1953125,40696.59765625,41199.62109375,41199.62109375,41697.9453125
11,0.0007007074270871956,0.00014599380349935843,67.13954492518678,42699.29296875,42681.1953125,41697.9453125,42200.98828125,42200.98828125,42699.29296875
12,0.0005547636717504576,0.00034098041075160206,67.09860009374097,43700.6640625,43682.1953125,42699.29296875,43202.35546875,43202.35546875,43700.6640625
13,0.00032689631893253844,0.00018991138587547694,134.16736431932077,45703.39453125,45685.1953125,44702.01171875,45205.0625,45205.0625,45703.39453125
14,0.0001118157788895146,5.24848643908417e-05,66.96614462183788,46704.7578125,46686.1953125,45703.39453125,46206.41015625,46206.41015625,46704.7578125
