iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5448358185035246,0.05608761301072285,nan,5718.6171875,5700.6953125,5236.98828125,5236.98828125,5236.98828125,5718.6171875
2,0.04969527213177734,0.003977095996745217,66.37558034202084,6715.45703125,6697.6953125,5718.6171875,6217.12109375,6217.12109375,6715.45703125
3,0.046202030330063655,0.002452761998332249,66.37611324805766,7716.3203125,7698.1953125,6715.45703125,7218.00390625,7218.00390625,7716.3203125
4,0.042464020643077395,0.003113361910342295,66.36530020693317,8713.14453125,8695.1953125,7716.3203125,8214.8359375,8214.8359375,8713.14453125
5,0.03254426002141109,0.0053067061401678075,66.34643266396597,9709.9921875,9692.1953125,8713.14453125,9211.64453125,9211.64453125,9709.9921875
6,0.017796722554894066,0.006110946735326711,66.2916108830832,10706.796875,10688.1953125,9709.9921875,10208.484375,10208.484375,10706.796875
7,0.005112574570914322,0.0025010386028635288,66.22884135087952,11703.60546875,11685.1953125,10706.796875,11205.2734375,11205.2734375,11703.60546875
8,0.0036102335452694724,0.0004407514081843553,66.31957993237302,12700.4296875,12682.1953125,11703.60546875,12202.11328125,12202.11328125,12700.4296875
9,0.003468478501654004,0.0003818916080802838,66.27196932584047,13697.25,13679.1953125,12700.4296875,13198.94140625,13198.94140625,13697.25
10,0.003356804269416395,0.0005908800263411968,66.2311969678849,14702.22265625,14684.1953125,13697.25,14203.875,14203.875,14702.22265625
11,0.0031508485176359293,0.0007532608353113388,66.17611391516402,15699.05078125,15681.1953125,14702.22265625,15200.73828125,15200.73828125,15699.05078125
12,0.002619633699386951,0.0008043971958683671,66.27837606007233,16695.859375,16677.6953125,15699.05078125,16197.51171875,16197.51171875,16695.859375
13,0.0014591744855069367,0.0009528653965506597,66.19840543298051,17692.6875,17674.6953125,16695.859375,17194.3671875,17194.3671875,17692.6875
14,0.0007264662341089972,0.00039085666473510233,66.15996897872537,18689.515625,18671.6953125,17692.6875,18191.1875,18191.1875,18689.515625
15,0.00039860178769684357,0.00028206939789082426,66.22234300430864,19686.3203125,19668.1953125,18689.515625,19188.015625,19188.015625,19686.3203125
16,0.00029784288070057875,0.00013504246302891828,66.17196457693353,20683.140625,20665.1953125,19686.3203125,20184.83203125,20184.83203125,20683.140625
17,0.0002595173977061473,0.00011057144561450411,66.2543248697184,21679.9453125,21662.1953125,20683.140625,21181.65625,21181.65625,21679.9453125
18,0.00017448987528381684,0.00012423717362106996,66.42414098698646,22676.7890625,22658.6953125,21679.9453125,22178.46875,22178.46875,22676.7890625
19,0.00011346969325125745,9.249539970803323e-05,66.35530239343643,23673.625,23655.1953125,22676.7890625,23175.28125,23175.28125,23673.625
20,9.175514193662103e-05,0.00023134675525766988,133.4322997299023,25667.26953125,25649.1953125,24670.42578125,25168.9296875,25168.9296875,25667.26953125
21,6.434576012054296e-05,4.093699382484448e-05,66.63281444180757,26664.078125,26646.1953125,25667.26953125,26165.7578125,26165.7578125,26664.078125
