iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.3953505281490064,0.04221870397844407,nan,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
2,0.035555191290508006,0.00545410241190294,0.5251448969356716,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
3,0.028803706262105832,0.0015098812963216877,0.5251700673252344,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
4,0.02766252039574818,0.0015346771650654185,0.5305496766231954,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
5,0.021477136219913977,0.0033696594534756833,0.524289749097079,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
6,0.0137089440760734,0.0044003775755338224,0.5255693811923265,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
7,0.00457958122476775,0.002878395553812556,0.5247397441416979,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
8,0.0023889901484477286,0.0007515857599683642,0.5243356288410723,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
9,0.0021906076363997513,0.00020410114563251418,0.5240920381620526,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
10,0.0021497193180528575,0.00030582361050569666,0.5242668190039694,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
11,0.002083117259646574,0.0004103885035520407,0.525000395718962,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
12,0.0019005022003815058,0.0005253999728556505,0.5249344450421631,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
13,0.0016092712356548424,0.0004930507330179914,0.5246771732345223,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
14,0.000950143503979285,0.0004656548233607097,0.5244588796049356,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
15,0.00034440551545380913,0.00044580613702531664,0.5312159331515431,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
16,0.00023079811805077098,0.0002068220967650627,1.0484352968633175,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
17,0.0001590658408463231,6.75112441439649e-05,0.525959825143218,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
18,0.0001425537685710202,5.774019088537572e-05,0.524298288859427,2782.37109375,2803.1171875,2782.37109375,2782.37109375,2782.37109375,2782.37109375
