model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mc,mc_samples,1,0.7673104124811109,0.0,0.7673104124811109,1.9999102887284363,1.0,0.8951109912626146,3.3505566120147705
mc_single,mc_samples,1,0.07400146696168762,0.0,0.07400146696168762,0.8967830951708727,1.0,0.9855709082561496,3.3505566120147705
mc,mc_samples,2,0.7080737980978108,0.4609462764562794,1.5838717233647415,1.3265991349390083,0.875398081085522,0.8280900087013299,6.59281063079834
mc_single,mc_samples,2,2.890166376069709,2.7919774178175625,8.19492346992308,3.0311907321185285,1.1982469882100952,0.5978778183217831,6.59281063079834
mc,mc_samples,5,0.7814042962963882,0.9273614836284361,3.5010741541557144,0.9917966945215457,0.9195214514034259,0.9119847320053294,16.485222578048706
mc_single,mc_samples,5,0.06543751656842364,0.058167204590727196,0.20321566179793854,0.9087280536831214,0.9542023937986874,0.9603762256579615,16.485222578048706
mc,mc_samples,10,0.7343375560876217,1.0011581451856164,4.112999575285968,0.5506606340350267,0.6245767114936571,0.7118682244827949,32.74909853935242
mc_single,mc_samples,10,0.9504590478623121,1.3718450178160027,5.964280043658663,0.3256958965148312,0.08011410101673878,0.16293835067515378,32.74909853935242
mc,mc_samples,20,0.7473228408174932,1.1554268443035465,4.756289132692191,0.4233802538341264,0.5421543600463294,0.6096002005649345,65.64079785346985
mc_single,mc_samples,20,0.4066529781388134,0.4916321061553238,1.9073441153757136,0.4328023015440255,0.6129163546358078,0.6280986802315991,65.64079785346985
mc,mc_samples,50,0.7290721989851957,1.1764319539147572,4.798742936450213,0.23862681813432254,0.33559170706543445,0.35950981650273484,163.53912663459778
mc_single,mc_samples,50,1.249845660611547,2.6159268131418836,11.401750007752657,0.7432789632295916,1.0596345807346113,1.223157238051571,163.53912663459778
mc,mc_samples,100,0.7183034484175421,1.2365881452626775,5.022826420771268,0.17597013890137314,0.25396619043618646,0.2539791740124313,326.34771823883057
mc_single,mc_samples,100,0.8268369802141364,2.0453398697894363,7.930311729929354,0.1532684066945581,0.610386308978539,0.5462827996061936,326.34771823883057
mc,mc_samples,200,0.7193391215208109,1.2489102019507685,5.0806773338860145,0.1247325530838147,0.1944708616283416,0.20121403090204434,654.2451095581055
mc_single,mc_samples,200,0.6353799287153317,0.9266456734395069,3.919171638178363,0.11377500575088043,0.27041098263302077,0.23582478227831058,654.2451095581055
mc,mc_samples,500,0.7167240356566644,1.2635499463718582,5.121846917422497,0.08370134360008721,0.12239030607144619,0.1229371221867281,1654.510555267334
mc_single,mc_samples,500,0.7117395183810225,1.1892989314637354,4.703694413922852,0.00726900224968888,0.06361248572875346,0.08285550246365478,1654.510555267334
mc,mc_samples,1000,0.7116152070252313,1.2540726315168818,5.0739962132961685,0.05916954968295547,0.09401320597413097,0.09148855977051777,3370.94752907753
mc_single,mc_samples,1000,0.7103263367453482,1.3048618177593883,5.127481634798155,0.0092401014776431,0.027375272670402778,0.00022383391785484318,3370.94752907753
mixture_linear_kle,n_mix,1,0.2905388058994232,0.4477824604976038,1.2141854221450186,0.5947578134739568,0.647441115074777,0.7632534384859354,3.1461873054504395
mixture_linear_hep,n_mix,1,0.2905388058994232,0.4477824604976038,1.2141854221450186,0.5947578134739568,0.647441115074777,0.7632534384859354,2.139909267425537
mixture_quadratic_kle,n_mix,1,0.6026594298225472,0.6572548940249567,2.8018597154087708,0.15941340670212933,0.4825142273514208,0.45368257486081415,30.546684980392456
mixture_quadratic_hep,n_mix,1,0.6026594298225472,0.6572548940249567,2.8018597154087708,0.15941340670212933,0.4825142273514208,0.45368257486081415,28.842754364013672
mixture_linear_kle,n_mix,3,0.44856520882692086,0.7628147764141129,2.832300685001095,0.3743433154762153,0.39940227520706534,0.44774707707876604,0.7448720932006836
mixture_linear_hep,n_mix,3,0.5201128311538026,0.8342206502668467,3.1553298743960996,0.27454902182677393,0.34318128067624964,0.3847615985323033,1.5653433799743652
mixture_quadratic_kle,n_mix,3,0.6572306713863356,0.9855226875987817,4.177912556481266,0.0832976906472971,0.22405451204537574,0.18537447904292267,82.88351202011108
mixture_quadratic_hep,n_mix,3,0.6464661449874393,0.982294694856712,4.131156542811691,0.09831200242331564,0.2265960531330417,0.19449114711065557,82.6327691078186
mixture_linear_kle,n_mix,5,0.5149320159394822,0.9398678380747814,3.6773366921942516,0.2817751989941894,0.2600005891242401,0.28297869375793605,1.0018513202667236
mixture_linear_hep,n_mix,5,0.623296877164351,1.0705420250865103,4.455516734885034,0.13062839032809026,0.15711503704127336,0.13124614452304117,1.8279192447662354
mixture_quadratic_kle,n_mix,5,0.6873565790683445,1.13506460713555,4.676262162376717,0.04127821355078433,0.10631356180165229,0.08820434878455938,136.81018543243408
mixture_quadratic_hep,n_mix,5,0.6756383883175001,1.127778246742918,4.708300655294761,0.057622691966673786,0.11205043477415529,0.0819573597365112,137.0931453704834
mixture_linear_kle,n_mix,7,0.5456416595655874,1.0234191724563262,4.009778282390546,0.23894152969499605,0.19421693772610876,0.21815794896246749,1.2867069244384766
mixture_linear_hep,n_mix,7,0.6704214573548717,1.1819701525819546,4.804773445264454,0.06489924321326634,0.06938275664904112,0.06314672267199753,2.0975723266601562
mixture_quadratic_kle,n_mix,7,0.6993087074309321,1.19310715126352,4.891469989706735,0.02460744003293749,0.06061410628202341,0.04624229570597361,191.05739498138428
mixture_quadratic_hep,n_mix,7,0.6881791309669546,1.1872577580730228,4.926708623356217,0.04013092195614857,0.06521959158495198,0.03937133086253948,191.03526377677917
